"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","Ward","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14216537","JK278149","06/01/2026 09:58:00 PM","007XX W 31ST ST","0560","ASSAULT","SIMPLE","DRUG STORE","true","false","0915","11","08A","1171697","1884328","2026","2026 Jun 09 04:13:19 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14203870","JK262663","05/20/2026 05:50:00 PM","007XX W 31ST ST","0850","THEFT","ATTEMPT THEFT","SIDEWALK","false","false","0915","11","06","1171668","1884327","2026","2026 May 28 03:42:02 PM","41,838052883","-87,645564858","POINT (-87.645564858 41.838052883)"
"14178251","JK231486","04/25/2026 10:55:00 PM","007XX W 31ST ST","0860","THEFT","RETAIL THEFT","CONVENIENCE STORE","false","false","0915","11","06","1171697","1884328","2026","2026 May 03 03:43:04 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14134795","JK178608","03/12/2026 03:07:00 PM","007XX W 31ST ST","0560","ASSAULT","SIMPLE","STREET","false","false","0915","11","08A","1171697","1884328","2026","2026 Mar 20 03:43:34 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14114764","JK154429","02/18/2026 06:30:00 PM","007XX W 31ST ST","0820","THEFT","$500 AND UNDER","SMALL RETAIL STORE","false","false","0915","11","06","1171668","1884327","2026","2026 Mar 14 03:41:39 PM","41,838052883","-87,645564858","POINT (-87.645564858 41.838052883)"
"14115406","JK154857","02/18/2026 04:00:00 PM","007XX W 31ST ST","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","SMALL RETAIL STORE","false","false","0915","11","11","1171697","1884328","2026","2026 Mar 14 03:41:39 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14093847","JK128628","01/26/2026 07:00:00 PM","007XX W 31ST ST","0560","ASSAULT","SIMPLE","APARTMENT","false","true","0914","11","08A","1171702","1884328","2026","2026 Mar 14 03:41:39 PM","41,83805488","-87,645440067","POINT (-87.645440067 41.83805488)"
"14092547","JK126976","01/25/2026 10:42:00 AM","007XX W 31ST ST","0560","ASSAULT","SIMPLE","CONVENIENCE STORE","false","false","0915","11","08A","1171697","1884328","2026","2026 Mar 14 03:41:39 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14086787","JK119792","01/18/2026 12:57:00 PM","007XX W 31ST ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","0915","11","06","1171697","1884328","2026","2026 Mar 14 03:41:39 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14083952","JK116125","01/15/2026 06:05:00 AM","007XX W 31ST ST","0460","BATTERY","SIMPLE","RESTAURANT","true","false","0915","11","08B","1171668","1884327","2026","2026 Mar 14 03:41:39 PM","41,838052883","-87,645564858","POINT (-87.645564858 41.838052883)"
"14070378","JJ540205","12/31/2025 01:46:00 PM","007XX W 31ST ST","0860","THEFT","RETAIL THEFT","COMMERCIAL / BUSINESS OFFICE","true","false","0915","11","06","1171697","1884328","2025","2026 Mar 14 03:41:39 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14060144","JJ527914","12/18/2025 06:25:00 PM","007XX W 31ST ST","0560","ASSAULT","SIMPLE","SCHOOL - PRIVATE BUILDING","false","false","0914","11","08A","1171993","1884335","2025","2026 Mar 14 03:41:39 PM","41,838067689","-87,644372052","POINT (-87.644372052 41.838067689)"
"14024784","JJ484462","11/10/2025 03:20:00 PM","007XX W 31ST ST","2820","OTHER OFFENSE","TELEPHONE THREAT","SMALL RETAIL STORE","false","false","0915","11","08A","1171668","1884327","2025","2026 Mar 14 03:41:39 PM","41,838052883","-87,645564858","POINT (-87.645564858 41.838052883)"
"14012490","JJ469252","10/29/2025 03:20:00 AM","007XX W 31ST ST","0460","BATTERY","SIMPLE","STREET","false","false","0915","11","08B","1171697","1884328","2025","2026 Mar 14 03:41:39 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14009388","JJ464749","10/24/2025 08:00:00 PM","007XX W 31ST ST","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0915","11","06","1172053","1884337","2025","2026 Mar 14 03:41:39 PM","41,838071856","-87,644151826","POINT (-87.644151826 41.838071856)"
"14005901","JJ461616","10/21/2025 05:00:00 PM","007XX W 31ST ST","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","true","0914","11","08A","1171702","1884328","2025","2026 Mar 14 03:41:39 PM","41,83805488","-87,645440067","POINT (-87.645440067 41.83805488)"
